Line No,GOE Rev history,CA INPUT,Project Tag Status,File Source,Line No.1,Service / Description,Tag. Reg.,Project,GOE project CODE,Comment,PID DrawingNo,PID DrawingNo.1,PIDDrawingNo,Isometric Drawing No,Other Drawing No,GOE doc number-Naval-ing_comment,GOE doc number,GOE doc number no.3-4,Datasheet,Certificate DOC. No,Discipline,ISO ownership,System,Status,To Line No,From Line No,Package No,External coating,Internal coating,Material type,"Line """,Service Code,Insulation,Pipe Class,"Oper. Pressure 
(BARG)","Design Pressure 
(BARG)","Test Pressure 
(BARG)","Oper. 
Temperature 
(Deg C)","Design 
Temperature 
(Deg C)","Standard Velocity 
(m/s)","Calculated Velocity 
(m/s)",Replaced Line No,"Foreign 
Line No",PED / NR13,Modified By,Modified Date,AREA,PED Category,DCN NumBer,ComBined Thermal and Acoustic Insulation,Flushing and Drying,Chemical Cleaning,Internal Pickling and Passivation,Hot Oil Flushing,External Pickling and Passivation,Fluid state,Fluids,PED Fluid Group,PED Module(s),Equipment Type (as per 4119),Flange Management Criticality,DNV/ABS Piping Class,NDT,Unnamed: 64,Naval_comment,ISO booklet number,Remarks,Naviswork support tags_Marin,Fab drg booklet number and pages_Marin,OSE response 09/02/2026,TPR_comment,TPR_pid_no
"44‐2""‐BS‐G1‐7002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unmatched - Not found in latest P&ID,
"44-3""-BS-G4-7857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partial match - Differences: Part 2 [P&ID: '4""' vs Master: '3""']",
"44-3""-BS-G1-7103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partial match - Differences: Part 2 [P&ID: '2""' vs Master: '3""']",
"44-3""-BS-G4-7858",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partial match - Differences: Part 2 [P&ID: '2""' vs Master: '3""'], Part 4 [P&ID: 'G14' vs Master: 'G4']",
"44-3""-BS-G4-7868",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partial match - Differences: Part 4 [P&ID: 'G1' vs Master: 'G4'],
"44-4""-BS-G2-7025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partial match - Differences: Part 2 [P&ID: '2""' vs Master: '4""']",
"51-4""-WS-G4-7856",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partial match - Differences: Part 3 [P&ID: 'BS' vs Master: 'WS'],
"98-1.1/2""-WS-G14-7300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,matched,
"98-1.1/2""-WS-G14-7300-FP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partial match - Differences: Format mismatch: P&ID has 5 parts, Master has 6, Part 1 [P&ID: '51' vs Master: '98'], Part 2 [P&ID: '40""' vs Master: '1.1/2""'], Part 4 [P&ID: 'G16' vs Master: 'G14']",
"98-2""-WS-G14-7001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partial match - Differences: Part 1 [P&ID: '53' vs Master: '98'], Part 3 [P&ID: 'WFR' vs Master: 'WS'], Part 4 [P&ID: 'G2' vs Master: 'G14']",
"98-2""-WS-G14-7002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partial match - Differences: Part 1 [P&ID: '44' vs Master: '98'], Part 3 [P&ID: 'BS' vs Master: 'WS'], Part 4 [P&ID: 'G1' vs Master: 'G14']",
"98-2""-WS-G14-7003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partial match - Differences: Part 1 [P&ID: '53' vs Master: '98'], Part 3 [P&ID: 'WFR' vs Master: 'WS'], Part 4 [P&ID: 'G2' vs Master: 'G14']",
"98-2""-WS-G14-7004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partial match - Differences: Part 1 [P&ID: '54' vs Master: '98'], Part 3 [P&ID: 'WP' vs Master: 'WS'], Part 4 [P&ID: 'G5' vs Master: 'G14']",
"98-2""-WS-G14-7005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partial match - Differences: Part 1 [P&ID: '51' vs Master: '98'], Part 2 [P&ID: '18""' vs Master: '2""'], Part 4 [P&ID: 'G16' vs Master: 'G14']",
"98-2""-WS-G14-7006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partial match - Differences: Part 1 [P&ID: '44' vs Master: '98'], Part 3 [P&ID: 'BS' vs Master: 'WS'], Part 4 [P&ID: 'G1' vs Master: 'G14']",
"57-2""-DCD20-7749",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partial match - Differences: Format mismatch: P&ID has 5 parts, Master has 4, Part 3 [P&ID: 'DC' vs Master: 'DCD20'], Part 4 [P&ID: 'G1' vs Master: '7749']",
"57-2""-DCD20-7752",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partial match - Differences: Format mismatch: P&ID has 5 parts, Master has 4, Part 3 [P&ID: 'DC' vs Master: 'DCD20'], Part 4 [P&ID: 'AD20' vs Master: '7752']",
"33-10""-WPS-AD20-7598",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partial match - Differences: Format mismatch: P&ID has 6 parts, Master has 5",
"33-2""-WPS-AD20-7339-HT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partial match - Differences: Format mismatch: P&ID has 5 parts, Master has 6, Part 1 [P&ID: '33.1/2""' vs Master: '33'], Part 2 [P&ID: 'WPS' vs Master: '2""'], Part 3 [P&ID: 'AD20' vs Master: 'WPS'], Part 4 [P&ID: '7339' vs Master: 'AD20'], Part 5 [P&ID: 'HT' vs Master: '7339']",
"51‐6""‐WS‐G3‐7304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unmatched - Not found in latest P&ID,
